1,4,0
1,4,15377
1,4,5850
1,4,5576
1,4,0
1,4,0
1,4,3107
1,4,0
1,4,3089
1,4,0
1,4,0
1,4,0
1,4,0
1,4,6586
1,4,6856
1,4,0
1,4,0
1,4,2992
1,4,0
1,4,3053
1,4,0
1,4,0
1,4,0
1,4,0
1,4,451
1,4,274
1,4,334
1,4,369
1,4,3501
1,4,1
1,4,0
1,4,0
1,4,1
1,4,0
1,4,1
1,4,0
1,4,0
1,4,0
1,4,0
1,4,3507
1,4,1
1,4,0
1,4,0
1,4,3505
1,4,1
1,4,0
1,4,0
1,4,3501
1,4,1
1,4,0
1,4,0
1,4,1
1,4,0
1,4,1
1,4,0
1,4,0
1,4,0
1,4,0
1,4,267
1,4,235
1,4,209
1,4,238
1,4,193
1,4,565
1,4,405
1,4,0
1,4,0
1,4,0
1,4,0
1,4,1
1,4,0
1,4,0
1,4,0
1,4,0
1,4,235
1,4,397
1,4,0
1,4,0
1,4,213
1,4,402
1,4,0
1,4,0
1,4,1
1,4,0
1,4,238
1,4,434
1,4,0
1,4,0
1,4,233
1,4,724
1,4,0
1,4,0
1,4,261
1,4,391
1,4,0
1,4,0
1,4,572
1,4,392
1,4,0
1,4,0
1,4,0
1,4,0
1,4,244
1,4,730
1,4,0
1,4,0
1,4,231
1,4,408
1,4,0
1,4,0
1,4,7462
1,4,276
1,4,98
1,4,87
1,4,7178
1,4,341
1,4,96
1,4,95
1,4,6698
1,4,311
1,4,127
1,4,117
1,4,557
1,4,116
1,4,650
1,4,131
1,4,117
1,4,113
1,4,121
1,4,8174
1,4,373
1,4,116
1,4,115
1,4,7472
1,4,352
1,4,104
1,4,90
1,4,7340
1,4,356
1,4,132
1,4,111
1,4,647
1,4,117
1,4,578
1,4,134
1,4,112
1,4,129
1,4,118
1,4,7697
1,4,307
1,4,105
1,4,99
1,4,9796
1,4,300
1,4,111
1,4,97
1,4,594
1,4,114
1,4,550
1,4,112
1,4,98
1,4,98
1,4,106
1,4,9326
1,4,340
1,4,120
1,4,110
1,4,607
1,4,122
1,4,605
1,4,112
1,4,100
1,4,112
1,4,129
1,4,9547
1,4,366
1,4,120
1,4,126
1,4,675
1,4,156
1,4,671
1,4,156
1,4,135
1,4,127
1,4,132
1,4,10349
1,4,376
1,4,131
1,4,137
1,4,658
1,4,123
1,4,575
1,4,117
1,4,115
1,4,125
1,4,142
1,4,9358
1,4,371
1,4,147
1,4,138
1,4,3713
1,4,1
1,4,6
1,4,6
